"soilplot","Observation_ID","clust","element_global_id","scientificname"
"Adrian.DSP.ER2","GRR.GJS.2015.26","1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"Adrian.es20170808.01","GRR.GJS.2017.19","2","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Adrian.gs20180813.02","GRR.GJS.2018.13","3","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Adrian.gs20180816.01","GRR.GJS.2018.3","4","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Adrian.gs20180816.02","GRR.GJS.2018.4","4","685467","Quercus palustris - Quercus bicolor - Acer rubrum Flatwoods Forest"
"Adrian.S12060401","GRR.GJS.2012.24","5","687693","Carex stricta - Carex spp. Wet Meadow"
"Aurelius.es20170731.02","GRR.GJS.2017.8","3","683201","Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Aurelius.s20190820.02","GRR.GJS.2019.11","4","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Aurelius.s20190820.03","GRR.GJS.2019.12","4","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Boots.gs20180830.03","GRR.GJS.2018.17","4","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Carlisle.S12061201","GRR.GJS.2012.70","5","685380","Phragmites australis ssp. australis Eastern Ruderal Marsh"
"Carlisle.W14090801","GRR.GJS.2014.39","6","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Carlisle.W14090802","GRR.GJS.2014.40","1","683869","Salix nigra / (Cephalanthus occidentalis) Swamp Forest"
"Edwards.gs20180813.03","GRR.GJS.2018.14","3","683201","Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Edwards.Lamberton.Lake.Fen","GRR.GJS.2015.24","7","685728","Cladium mariscoides - (Carex lasiocarpa, Hypericum kalmianum, Oligoneuron riddellii, Eleocharis elliptica) Fen"
"Edwards.S12060701","GRR.GJS.2012.31","5","689818","Typha spp. Midwest Marsh"
"Edwards.s20200710.01","GRR.GJS.2020.15","7","690040","Dasiphora fruticosa ssp. floribunda / Cladium mariscoides - Juncus balticus - (Rhynchospora capillacea) Fen"
"Edwards.s20200710.02","GRR.GJS.2020.16","7","685728","Cladium mariscoides - (Carex lasiocarpa, Hypericum kalmianum, Oligoneuron riddellii, Eleocharis elliptica) Fen"
"Gilford.S12062503","GRR.GJS.2012.36","7","687037","Dasiphora fruticosa ssp. floribunda / Carex sterilis - Andropogon gerardii - Arnoglossum plantagineum Fen"
"Henrietta.gs20180912.03","GRR.GJS.2018.21","4","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Henrietta.gs20180912.04","GRR.GJS.2018.22","4","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Houghton.2016MI037001","GRR.GJS.2016.21","5","689818","Typha spp. Midwest Marsh"
"Houghton.DSP.ER1","GRR.GJS.2015.27","8","793415","Leersia oryzoides - Sagittaria latifolia Wet Meadow"
"Houghton.DSP.ER3","GRR.GJS.2015.28","8","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.DSP.RF1","GRR.GJS.2015.20","6","686788","Pinus strobus - (Acer rubrum) / Osmunda spp. Swamp Forest"
"Houghton.DSP.RF2","GRR.GJS.2015.22","6","689089","Larix laricina - Acer rubrum / (Rhamnus alnifolia, Vaccinium corymbosum) Swamp Forest"
"Houghton.DSP.RF3","GRR.GJS.2015.21","6","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Houghton.DSP.RR2","GRR.GJS.2015.29","1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"Houghton.DSP.RR3","GRR.GJS.2015.30","8","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.Page.Creek.Fen","GRR.GJS.2015.23","5","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.S12053101","GRR.GJS.2012.23","5","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.S12062501","GRR.GJS.2012.34","5","689103","Typha spp. - Schoenoplectus tabernaemontani - Mixed Herbs Southern Great Lakes Shore Marsh"
"Houghton.S12062502","GRR.GJS.2012.35","1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"Houghton.S12062901","GRR.GJS.2012.40","6","892928","Fraxinus nigra - Acer saccharinum Upper Great Lakes Floodplain Forest"
"Houghton.s20200611.01","GRR.GJS.2020.13","6","689089","Larix laricina - Acer rubrum / (Rhamnus alnifolia, Vaccinium corymbosum) Swamp Forest"
"Houghton.s20200701.01","GRR.GJS.2020.14","6","689089","Larix laricina - Acer rubrum / (Rhamnus alnifolia, Vaccinium corymbosum) Swamp Forest"
"Linwood.s20210525.03","GRR.GJS.2021.3","3","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Palms.2016MI045005","GRR.GJS.2016.59","2","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Palms.2016MI067010","GRR.GJS.2016.32","3","683201","Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
